!MOLECULE
CO
!MOLECULAR WEIGHT
28.0
!NUMBER OF ENERGY LEVELS
41
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1     0.000000000	    1.0	    0
    2     3.845033413	    3.0	    1
    3    11.534919938	    5.0	    2
    4    23.069512649	    7.0	    3
    5    38.448164669	    9.0     4
    6    57.670329083	   11.0     5
    7    80.735459105	   13.0	    6
    8   107.642407981	   15.0	    7
    9   138.390328288	   17.0	    8
   10   172.978074417	   19.0	    9
   11   211.404098498	   21.0	   10
   12   253.667154063	   23.0	   11
   13   299.765594677	   25.0	   12
   14   349.697573572	   27.0	   13
   15   403.461144648	   29.0	   14
   16   461.054460258	   31.0	   15
   17   522.475174766	   33.0	   16
   18   587.720842073	   35.0	   17
   19   656.789215021	   37.0	   18
   20   729.677447242	   39.0	   19
   21   806.382793369	   41.0	   20
   22   886.902407768	   43.0	   21
   23   971.233142570	   45.0	   22
   24  1059.371853104	   47.0	   23
   25  1151.314993047	   49.0	   24
   26  1247.059216721	   51.0	   25
   27  1346.600778694	   53.0	   26
   28  1449.935933301	   55.0	   27
   29  1557.060734626	   57.0	   28
   30  1667.970937865	   59.0	   29
   31  1782.662398043	   61.0	   30
   32  1901.130769241	   63.0	   31
   33  2023.371506269	   65.0	   32
   34  2149.379864360	   67.0	   33
   35  2279.151100482	   69.0	   34
   36  2412.680169220	   71.0	   35
   37  2549.961925315	   73.0	   36
   38  2690.991324173	   75.0	   37
   39  2835.762724236	   77.0	   38
   40  2984.270676211	   79.0	   39
   41  3136.509541175	   81.0	   40
!NUMBER OF RADIATIVE TRANSITIONS
40
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1   7.203e-08     115.2712018      5.53
    2     3     2   6.910e-07     230.5380000     16.60
    3     4     3   2.497e-06     345.7959899     33.19
    4     5     4   6.126e-06     461.0407682     55.32
    5     6     5   1.221e-05     576.2679305     82.97
    6     7     6   2.137e-05     691.4730763    116.16
    7     8     7   3.422e-05     806.6518060    154.87
    8     9     8   5.134e-05     921.7997000    199.11
    9    10     9   7.330e-05    1036.9123930    248.88
   10    11    10   1.006e-04    1151.9854520    304.16
   11    12    11   1.339e-04    1267.0144860    364.97
   12    13    12   1.735e-04    1381.9951050    431.29
   13    14    13   2.200e-04    1496.9229090    503.13
   14    15    14   2.739e-04    1611.7935180    580.49
   15    16    15   3.354e-04    1726.6025057    663.35
   16    17    16   4.050e-04    1841.3455060    751.72
   17    18    17   4.829e-04    1956.0181390    845.59
   18    19    18   5.695e-04    2070.6159930    944.97
   19    20    19   6.650e-04    2185.1346800   1049.84
   20    21    20   7.695e-04    2299.5698420   1160.20
   21    22    21   8.833e-04    2413.9171130   1276.05
   22    23    22   1.006e-03    2528.1720600   1397.38
   23    24    23   1.139e-03    2642.3303459   1524.19
   24    25    24   1.281e-03    2756.3875840   1656.47
   25    26    25   1.432e-03    2870.3394070   1794.23
   26    27    26   1.592e-03    2984.1814550   1937.44
   27    28    27   1.761e-03    3097.9093610   2086.12
   28    29    28   1.940e-03    3211.5187506   2240.24
   29    30    29   2.126e-03    3325.0052827   2399.82
   30    31    30   2.321e-03    3438.3646110   2564.83
   31    32    31   2.524e-03    3551.5923610   2735.28
   32    33    32   2.735e-03    3664.6841800   2911.15
   33    34    33   2.952e-03    3777.6357280   3092.45
   34    35    34   3.175e-03    3890.4427170   3279.15
   35    36    35   3.404e-03    4003.1007876   3471.27
   36    37    36   3.638e-03    4115.6055850   3668.78
   37    38    37   3.878e-03    4227.9527744   3871.69
   38    39    38   4.120e-03    4340.1381120   4079.98
   39    40    39   4.365e-03    4452.1571221   4293.64
   40    41    40   4.613e-03    4564.0056399   4512.67
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 CO-H2O: ortho and para weighted avg (3:1) from Faure et al. (2010) 
!NUMBER OF COLL TRANS
55
!NUMBER OF COLL TEMPS
20
!COLL TEMPS
5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0 50.0 55.0 60.0 65.0 70.0 75.0 80.0 85.0 90.0 95.0 100.0
!TRANS+ UP+ LOW+ COLLRATES(cm^3 s^-1)
1 2 1 7.12e-11 7.02e-11 6.57e-11 6.10e-11 5.68e-11 5.29e-11 4.96e-11 4.66e-11 4.40e-11 4.16e-11 3.94e-11 3.76e-11 3.59e-11 3.43e-11 3.30e-11 3.17e-11 3.06e-11 2.96e-11 2.87e-11 2.78e-11
2 3 1 3.46e-11 3.94e-11 4.00e-11 3.90e-11 3.76e-11 3.59e-11 3.44e-11 3.28e-11 3.13e-11 2.99e-11 2.86e-11 2.75e-11 2.65e-11 2.55e-11 2.47e-11 2.39e-11 2.31e-11 2.25e-11 2.18e-11 2.12e-11
3 3 2 1.01e-10 1.10e-10 1.09e-10 1.06e-10 1.01e-10 9.67e-11 9.21e-11 8.79e-11 8.40e-11 8.04e-11 7.72e-11 7.43e-11 7.15e-11 6.91e-11 6.68e-11 6.47e-11 6.29e-11 6.12e-11 5.94e-11 5.79e-11
4 4 1 2.13e-11 2.45e-11 2.57e-11 2.61e-11 2.59e-11 2.54e-11 2.48e-11 2.40e-11 2.33e-11 2.25e-11 2.19e-11 2.13e-11 2.06e-11 2.00e-11 1.95e-11 1.90e-11 1.85e-11 1.80e-11 1.76e-11 1.72e-11
5 4 2 6.33e-11 7.03e-11 7.11e-11 7.01e-11 6.86e-11 6.68e-11 6.49e-11 6.31e-11 6.13e-11 5.95e-11 5.79e-11 5.63e-11 5.48e-11 5.34e-11 5.21e-11 5.08e-11 4.96e-11 4.85e-11 4.73e-11 4.63e-11
6 4 3 6.86e-11 8.52e-11 9.13e-11 9.29e-11 9.31e-11 9.21e-11 9.09e-11 8.93e-11 8.76e-11 8.59e-11 8.41e-11 8.23e-11 8.06e-11 7.89e-11 7.73e-11 7.57e-11 7.41e-11 7.27e-11 7.13e-11 6.99e-11
7 5 1 2.01e-11 2.26e-11 2.36e-11 2.37e-11 2.33e-11 2.28e-11 2.20e-11 2.14e-11 2.07e-11 2.01e-11 1.95e-11 1.89e-11 1.83e-11 1.78e-11 1.73e-11 1.69e-11 1.64e-11 1.60e-11 1.56e-11 1.52e-11
8 5 2 4.77e-11 5.55e-11 5.82e-11 5.88e-11 5.83e-11 5.72e-11 5.60e-11 5.46e-11 5.33e-11 5.19e-11 5.06e-11 4.93e-11 4.81e-11 4.68e-11 4.57e-11 4.46e-11 4.36e-11 4.26e-11 4.16e-11 4.07e-11
9 5 3 6.93e-11 7.87e-11 8.25e-11 8.40e-11 8.42e-11 8.34e-11 8.23e-11 8.10e-11 7.94e-11 7.78e-11 7.62e-11 7.45e-11 7.29e-11 7.13e-11 6.98e-11 6.83e-11 6.68e-11 6.54e-11 6.40e-11 6.26e-11
10 5 4 6.63e-11 8.08e-11 8.68e-11 9.00e-11 9.15e-11 9.22e-11 9.22e-11 9.17e-11 9.09e-11 8.99e-11 8.87e-11 8.75e-11 8.61e-11 8.46e-11 8.32e-11 8.19e-11 8.04e-11 7.90e-11 7.76e-11 7.62e-11
11 6 1 1.33e-11 1.57e-11 1.65e-11 1.68e-11 1.67e-11 1.66e-11 1.63e-11 1.60e-11 1.56e-11 1.53e-11 1.50e-11 1.47e-11 1.43e-11 1.40e-11 1.37e-11 1.33e-11 1.30e-11 1.27e-11 1.24e-11 1.21e-11
12 6 2 3.30e-11 4.07e-11 4.40e-11 4.54e-11 4.56e-11 4.53e-11 4.48e-11 4.41e-11 4.33e-11 4.25e-11 4.16e-11 4.08e-11 3.99e-11 3.91e-11 3.81e-11 3.73e-11 3.65e-11 3.57e-11 3.48e-11 3.40e-11
13 6 3 4.73e-11 5.82e-11 6.38e-11 6.64e-11 6.73e-11 6.74e-11 6.71e-11 6.65e-11 6.57e-11 6.47e-11 6.36e-11 6.25e-11 6.14e-11 6.02e-11 5.89e-11 5.77e-11 5.65e-11 5.53e-11 5.42e-11 5.30e-11
14 6 4 4.72e-11 6.04e-11 6.80e-11 7.25e-11 7.52e-11 7.65e-11 7.72e-11 7.73e-11 7.70e-11 7.65e-11 7.57e-11 7.49e-11 7.38e-11 7.28e-11 7.17e-11 7.05e-11 6.93e-11 6.81e-11 6.68e-11 6.57e-11
15 6 5 5.19e-11 6.20e-11 6.72e-11 7.10e-11 7.36e-11 7.56e-11 7.69e-11 7.78e-11 7.83e-11 7.84e-11 7.84e-11 7.80e-11 7.75e-11 7.69e-11 7.61e-11 7.53e-11 7.44e-11 7.34e-11 7.23e-11 7.13e-11
16 7 1 8.89e-12 1.02e-11 1.10e-11 1.15e-11 1.19e-11 1.21e-11 1.22e-11 1.21e-11 1.20e-11 1.19e-11 1.17e-11 1.15e-11 1.14e-11 1.11e-11 1.09e-11 1.06e-11 1.04e-11 1.01e-11 9.87e-12 9.62e-12
17 7 2 2.66e-11 3.02e-11 3.20e-11 3.31e-11 3.38e-11 3.41e-11 3.42e-11 3.41e-11 3.39e-11 3.35e-11 3.30e-11 3.25e-11 3.18e-11 3.13e-11 3.06e-11 3.00e-11 2.93e-11 2.87e-11 2.80e-11 2.74e-11
18 7 3 3.86e-11 4.55e-11 4.89e-11 5.09e-11 5.21e-11 5.27e-11 5.31e-11 5.30e-11 5.27e-11 5.22e-11 5.16e-11 5.08e-11 5.00e-11 4.91e-11 4.81e-11 4.71e-11 4.62e-11 4.52e-11 4.43e-11 4.33e-11
19 7 4 4.63e-11 5.50e-11 5.99e-11 6.29e-11 6.47e-11 6.58e-11 6.64e-11 6.66e-11 6.64e-11 6.59e-11 6.53e-11 6.45e-11 6.36e-11 6.26e-11 6.15e-11 6.04e-11 5.93e-11 5.81e-11 5.70e-11 5.59e-11
20 7 5 3.97e-11 4.96e-11 5.67e-11 6.16e-11 6.48e-11 6.70e-11 6.84e-11 6.93e-11 6.97e-11 6.98e-11 6.96e-11 6.93e-11 6.87e-11 6.80e-11 6.72e-11 6.63e-11 6.54e-11 6.44e-11 6.34e-11 6.23e-11
21 7 6 3.31e-11 3.99e-11 4.51e-11 4.96e-11 5.33e-11 5.63e-11 5.88e-11 6.07e-11 6.21e-11 6.30e-11 6.37e-11 6.41e-11 6.43e-11 6.43e-11 6.41e-11 6.38e-11 6.33e-11 6.27e-11 6.21e-11 6.15e-11
22 8 1 8.62e-12 1.09e-11 1.17e-11 1.21e-11 1.23e-11 1.22e-11 1.20e-11 1.17e-11 1.15e-11 1.11e-11 1.09e-11 1.06e-11 1.03e-11 9.96e-12 9.67e-12 9.38e-12 9.10e-12 8.84e-12 8.60e-12 8.36e-12
23 8 2 2.26e-11 2.75e-11 3.03e-11 3.18e-11 3.25e-11 3.27e-11 3.25e-11 3.22e-11 3.17e-11 3.10e-11 3.03e-11 2.96e-11 2.88e-11 2.80e-11 2.73e-11 2.66e-11 2.59e-11 2.52e-11 2.45e-11 2.39e-11
24 8 3 3.65e-11 4.28e-11 4.66e-11 4.89e-11 5.00e-11 5.04e-11 5.03e-11 4.99e-11 4.93e-11 4.84e-11 4.75e-11 4.64e-11 4.53e-11 4.42e-11 4.32e-11 4.21e-11 4.10e-11 4.00e-11 3.89e-11 3.80e-11
25 8 4 4.38e-11 4.97e-11 5.34e-11 5.61e-11 5.79e-11 5.91e-11 5.97e-11 5.98e-11 5.95e-11 5.90e-11 5.83e-11 5.75e-11 5.65e-11 5.54e-11 5.43e-11 5.32e-11 5.20e-11 5.08e-11 4.97e-11 4.86e-11
26 8 5 5.12e-11 5.78e-11 6.02e-11 6.18e-11 6.29e-11 6.39e-11 6.45e-11 6.49e-11 6.50e-11 6.47e-11 6.43e-11 6.36e-11 6.29e-11 6.20e-11 6.10e-11 6.00e-11 5.89e-11 5.79e-11 5.67e-11 5.57e-11
27 8 6 3.80e-11 4.76e-11 5.28e-11 5.61e-11 5.85e-11 6.03e-11 6.17e-11 6.26e-11 6.33e-11 6.36e-11 6.37e-11 6.36e-11 6.33e-11 6.28e-11 6.22e-11 6.15e-11 6.07e-11 5.99e-11 5.90e-11 5.81e-11
28 8 7 3.34e-11 3.85e-11 4.17e-11 4.44e-11 4.68e-11 4.89e-11 5.07e-11 5.21e-11 5.33e-11 5.42e-11 5.49e-11 5.53e-11 5.56e-11 5.56e-11 5.56e-11 5.54e-11 5.52e-11 5.48e-11 5.43e-11 5.39e-11
29 9 1 4.82e-12 6.56e-12 7.62e-12 8.17e-12 8.43e-12 8.53e-12 8.50e-12 8.41e-12 8.28e-12 8.11e-12 7.93e-12 7.73e-12 7.53e-12 7.33e-12 7.13e-12 6.94e-12 6.75e-12 6.57e-12 6.38e-12 6.21e-12
30 9 2 1.31e-11 1.82e-11 2.13e-11 2.31e-11 2.41e-11 2.45e-11 2.45e-11 2.44e-11 2.40e-11 2.36e-11 2.31e-11 2.26e-11 2.20e-11 2.14e-11 2.09e-11 2.03e-11 1.98e-11 1.93e-11 1.87e-11 1.82e-11
31 9 3 2.04e-11 2.74e-11 3.22e-11 3.52e-11 3.71e-11 3.79e-11 3.82e-11 3.81e-11 3.79e-11 3.73e-11 3.66e-11 3.58e-11 3.50e-11 3.42e-11 3.34e-11 3.26e-11 3.17e-11 3.09e-11 3.01e-11 2.94e-11
32 9 4 2.82e-11 3.67e-11 4.20e-11 4.56e-11 4.78e-11 4.90e-11 4.95e-11 4.95e-11 4.92e-11 4.86e-11 4.79e-11 4.70e-11 4.61e-11 4.51e-11 4.41e-11 4.30e-11 4.21e-11 4.11e-11 4.01e-11 3.91e-11
33 9 5 2.43e-11 3.46e-11 4.25e-11 4.79e-11 5.16e-11 5.39e-11 5.52e-11 5.58e-11 5.61e-11 5.58e-11 5.53e-11 5.47e-11 5.38e-11 5.28e-11 5.19e-11 5.08e-11 4.99e-11 4.88e-11 4.78e-11 4.66e-11
34 9 6 2.34e-11 3.09e-11 3.65e-11 4.12e-11 4.51e-11 4.81e-11 5.04e-11 5.20e-11 5.31e-11 5.39e-11 5.42e-11 5.42e-11 5.40e-11 5.36e-11 5.31e-11 5.24e-11 5.18e-11 5.10e-11 5.02e-11 4.93e-11
35 9 7 2.09e-11 2.87e-11 3.41e-11 3.82e-11 4.14e-11 4.42e-11 4.63e-11 4.80e-11 4.94e-11 5.03e-11 5.09e-11 5.13e-11 5.15e-11 5.15e-11 5.13e-11 5.09e-11 5.05e-11 5.00e-11 4.95e-11 4.89e-11
36 9 8 1.17e-11 1.77e-11 2.26e-11 2.68e-11 3.03e-11 3.32e-11 3.58e-11 3.80e-11 3.99e-11 4.14e-11 4.25e-11 4.35e-11 4.43e-11 4.47e-11 4.51e-11 4.53e-11 4.52e-11 4.52e-11 4.51e-11 4.48e-11
37 10 1 3.73e-12 5.09e-12 5.94e-12 6.41e-12 6.63e-12 6.70e-12 6.69e-12 6.62e-12 6.51e-12 6.38e-12 6.23e-12 6.07e-12 5.91e-12 5.75e-12 5.59e-12 5.44e-12 5.28e-12 5.13e-12 4.99e-12 4.85e-12
38 10 2 1.12e-11 1.50e-11 1.74e-11 1.87e-11 1.93e-11 1.95e-11 1.95e-11 1.94e-11 1.91e-11 1.87e-11 1.83e-11 1.79e-11 1.74e-11 1.70e-11 1.65e-11 1.60e-11 1.56e-11 1.52e-11 1.48e-11 1.44e-11
39 10 3 1.85e-11 2.46e-11 2.81e-11 3.00e-11 3.09e-11 3.13e-11 3.13e-11 3.10e-11 3.06e-11 3.01e-11 2.94e-11 2.88e-11 2.80e-11 2.74e-11 2.67e-11 2.59e-11 2.52e-11 2.46e-11 2.40e-11 2.33e-11
40 10 4 2.57e-11 3.43e-11 3.89e-11 4.13e-11 4.23e-11 4.28e-11 4.27e-11 4.24e-11 4.18e-11 4.10e-11 4.02e-11 3.93e-11 3.84e-11 3.75e-11 3.65e-11 3.56e-11 3.46e-11 3.37e-11 3.28e-11 3.20e-11
